SOURCE_INSTANCE	SOURCE_KEY1	SOURCE_KEY2	SOURCE_KEY3	LACTA_ANALYSIS_CODE	UPDATED_ON	UPDATED_BY
EU_LW_V5	LA175			175	2015/10/09 10:02:43.000000000	F_EMMPER
EU_LW_V5	LA175.1			175.1	2015/10/09 10:02:43.000000000	F_EMMPER
EU_LW_V5	LA176			176	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA176.1			176.1	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA178			178	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA178.1			178.1	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA18			18	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA180			180	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA182			182	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA183			183	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA184			184	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA186			186	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA187			187	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA189			189	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA190			190	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA191			191	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA192			192	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA193			193	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA195			195	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA197			197	2015/10/09 10:02:44.000000000	F_EMMPER
EU_LW_V5	LA198			198	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2			2	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-216			216	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-216.1			216.1	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-413			413	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-54			54	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-7			7	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA2-98			98	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA20			20	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA200			200	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA201			201	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA202			202	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA203			203	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA204			204	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA205			205	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA206			206	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA21			21	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA211			211	2015/10/09 10:02:45.000000000	F_EMMPER
EU_LW_V5	LA212			212	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA213			213	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA213.1			213.1	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA214			214	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA215			215	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA216			216	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA216.1			216.1	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA22			22	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA222			222	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA23			23	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA232			232	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA25			25	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA265			265	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA279			279	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA28			28	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA280			280	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA281			281	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA282			282	2015/10/09 10:02:46.000000000	F_EMMPER
EU_LW_V5	LA283			283	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA284			284	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA285			285	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA286			286	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA287			287	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA29			29	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA297			297	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA298			298	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3			3	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-216			216	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-216.1			216.1	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-54			54	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-55			55	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-7			7	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-98			98	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA3-98.1			98.1	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA300			300	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA301			301	2015/10/09 10:02:47.000000000	F_EMMPER
EU_LW_V5	LA302			302	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA304			304	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA305			305	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA306			306	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA307			307	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA311			311	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA312			312	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA313			313	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA318			318	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA323			323	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA34			34	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA35			35	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA369			369	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA373			373	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA374			374	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA375			375	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA378			378	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA379			379	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA380			380	2015/10/09 10:02:48.000000000	F_EMMPER
EU_LW_V5	LA381			381	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA386			386	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA390			390	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA391			391	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA392			392	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA393			393	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA395			395	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA4			4	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA400			400	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA401			401	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA402			402	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA41			41	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA412			412	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA413			413	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA419			419	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA42			42	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA420			420	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA426			426	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA43			43	2015/10/09 10:02:49.000000000	F_EMMPER
EU_LW_V5	LA44			44	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA45			45	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA46			46	2015/10/09 10:02:50.000000000	F_EMMPER
EU_LW_V5	LA47			47	2015/10/09 10:02:50.000000000	F_EMMPER
